"","id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
"13776",23775,5,2,1,47,1,4,5,6,585,45,40,235,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"SK","Married","College, CEGEP, or other non-university certificate or dimploma",0
"13777",23776,3,1,6,35,1,7,2,6,510,0,30,715,120,725,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,2,"ON","Single, never married","University certificate, diploma, degree above the BA level",1
"13778",23777,3,1,2,24,1,4,3,5,520,0,85,170,10,505,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2,"QC","Living common-law","College, CEGEP, or other non-university certificate or dimploma",1
"13779",23778,3,2,1,35,1,6,1,2,720,0,0,15,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"ON","Married","Bachelor's degree",1
"13780",23779,6,2,5,59,1,1,6,6,410,70,30,1130,35,450,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"BC","Divorced","Less than high school dimploma or its equivalent",0
"13781",23780,3,1,2,35,2,4,3,6,565,0,140,420,25,0,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2,"ON","Living common-law","College, CEGEP, or other non-university certificate or dimploma",1
"13782",23781,4,2,1,35,1,3,1,1,435,60,0,320,180,380,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,2,"ON","Married","Trade certificate or diploma",1
"13783",23782,3,2,5,24,1,4,2,3,720,0,130,1440,0,0,0,0,0,NA,1,1,1,2,NA,8,2,1,2,2,"QC","Divorced","College, CEGEP, or other non-university certificate or dimploma",1
"13784",23783,6,1,1,46,1,3,4,2,585,0,30,405,0,405,0,0,0,NA,NA,NA,1,1,NA,NA,2,2,2,2,"MB","Married","Trade certificate or diploma",0
"13785",23784,4,1,1,12,1,3,1,1,570,30,80,225,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,"NS","Married","Trade certificate or diploma",1
"13786",23785,5,2,1,47,1,2,2,6,450,35,0,210,45,465,0,0,0,NA,NA,NA,1,1,NA,4,2,2,2,2,"SK","Married","High school diploma or equivalency",1
"13787",23786,3,2,1,35,1,4,2,6,180,90,120,0,0,0,0,0,0,NA,1,2,2,2,NA,1,2,2,1,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
"13788",23787,5,2,1,12,1,6,2,5,390,60,250,630,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,1,1,2,"NS","Married","Bachelor's degree",1
"13789",23788,7,2,3,59,2,1,6,6,450,0,120,970,40,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"BC","Widowed","Less than high school dimploma or its equivalent",0
"13790",23789,7,2,6,24,1,4,6,6,750,60,90,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"QC","Single, never married","College, CEGEP, or other non-university certificate or dimploma",0
"13791",23790,4,2,5,35,1,6,2,4,450,30,40,765,15,480,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Divorced","Bachelor's degree",1
"13792",23791,7,2,3,48,1,1,2,6,550,60,100,990,0,240,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2,"AB","Widowed","Less than high school dimploma or its equivalent",1
"13793",23792,4,2,1,35,1,1,2,6,525,165,45,105,0,510,0,0,0,NA,NA,NA,1,1,NA,8,1,2,1,2,"ON","Married","Less than high school dimploma or its equivalent",1
"13794",23793,3,1,1,35,1,6,2,3,450,0,60,200,120,450,0,0,0,NA,NA,NA,1,1,NA,4,2,2,1,1,"ON","Married","Bachelor's degree",1
"13795",23794,2,1,1,47,1,2,1,2,470,0,105,745,25,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"SK","Married","High school diploma or equivalency",1
"13796",23795,1,1,6,24,1,4,1,6,390,0,30,300,180,0,0,0,0,1,2,1,1,2,1,7,2,2,1,2,"QC","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
"13797",23796,2,1,1,35,1,4,2,2,460,20,90,0,0,0,0,0,0,NA,NA,NA,1,1,NA,5,2,2,2,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
"13798",23797,6,2,6,12,1,2,3,3,585,60,90,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NS","Single, never married","High school diploma or equivalency",1
"13799",23798,6,2,4,13,1,4,6,6,480,15,50,790,140,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NB","Separated","College, CEGEP, or other non-university certificate or dimploma",0
"13800",23799,4,2,6,24,1,2,6,3,420,30,40,1260,20,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2,"QC","Single, never married","High school diploma or equivalency",0
"13801",23800,3,2,1,35,1,4,4,4,630,240,0,465,0,0,0,0,0,NA,2,2,2,2,NA,1,NA,1,1,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",0
"13802",23801,1,1,6,47,1,NA,2,6,480,0,30,540,0,480,0,0,0,1,2,2,2,2,1,7,2,2,2,2,"SK","Single, never married",NA,1
"13803",23802,4,2,1,35,1,4,1,2,510,60,90,450,120,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
"13804",23803,6,2,1,24,1,4,3,6,520,60,80,800,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"QC","Married","College, CEGEP, or other non-university certificate or dimploma",1
"13805",23804,7,2,6,10,1,6,1,6,570,60,150,1280,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NL","Single, never married","Bachelor's degree",1
"13806",23805,6,2,3,24,2,2,1,2,495,0,125,1315,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2,"QC","Widowed","High school diploma or equivalency",1
"13807",23806,4,1,6,24,1,6,1,3,480,30,60,930,25,465,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2,"QC","Single, never married","Bachelor's degree",1
"13808",23807,4,1,1,35,1,6,3,4,645,225,0,535,20,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Married","Bachelor's degree",1
"13809",23808,4,2,6,35,1,6,1,5,420,0,180,1140,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,2,"ON","Single, never married","Bachelor's degree",1
"13810",23809,6,1,5,24,2,1,6,3,570,85,0,1440,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2,"QC","Divorced","Less than high school dimploma or its equivalent",0
"13811",23810,1,2,6,13,2,4,4,6,475,15,10,595,80,750,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"NB","Single, never married","College, CEGEP, or other non-university certificate or dimploma",0
"13812",23811,4,1,1,24,1,6,3,4,720,150,120,0,0,0,0,0,0,NA,NA,NA,1,1,NA,NA,2,1,2,2,"QC","Married","Bachelor's degree",1
"13813",23812,3,2,1,35,1,7,5,1,540,270,0,180,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"ON","Married","University certificate, diploma, degree above the BA level",0
"13814",23813,3,1,1,24,1,3,2,6,590,75,105,40,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"QC","Married","Trade certificate or diploma",1
"13815",23814,6,1,6,13,2,1,4,1,180,40,55,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2,"NB","Single, never married","Less than high school dimploma or its equivalent",0
"13816",23815,4,1,1,35,1,6,1,3,480,0,0,195,255,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"ON","Married","Bachelor's degree",1
"13817",23816,4,1,1,59,1,6,1,3,455,0,60,135,60,460,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"BC","Married","Bachelor's degree",1
"13818",23817,3,2,1,59,2,6,3,5,470,120,0,0,10,0,0,0,0,NA,2,1,1,2,NA,8,1,2,1,1,"BC","Married","Bachelor's degree",1
"13819",23818,4,1,1,13,2,1,3,6,465,45,60,210,90,585,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2,"NB","Married","Less than high school dimploma or its equivalent",1
