PUMFID,ageGrp,sex,maritalStat,province,popCenter,eduLevel,feelRushed,extraTime,durSleep,durMealPrep,durEating,durAlone,durDriving,durWork,durShoolSite,durSchoolOnline,durStudy,mainStudy,mainJobHunting,mainWork,worked12m,workedWeek,enrollStat,dailyTexts,timeSlowDown,timeWorkaholic,timeNotFamFriends,timeWantAlone,province_fact,maritalStat_fact,eduLevel_fact
16190,6,2,3,35,1,4,6,1,675,70,80,1245,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2,ON,Widowed,"College, CEGEP, or other non-university certificate or dimploma"
16191,4,2,6,46,1,6,2,2,455,0,45,810,65,465,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,MB,"Single, never married",Bachelor's degree
16192,6,2,3,24,1,1,3,5,480,60,60,1200,0,240,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2,QC,Widowed,Less than high school dimploma or its equivalent
16193,2,2,1,59,1,4,2,3,450,60,0,260,35,520,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,BC,Married,"College, CEGEP, or other non-university certificate or dimploma"
16194,6,1,1,35,1,3,2,1,360,0,90,0,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,ON,Married,Trade certificate or diploma
16195,5,1,1,48,2,1,1,4,420,0,255,675,300,0,0,0,0,NA,NA,NA,1,1,NA,8,1,1,1,2,AB,Married,Less than high school dimploma or its equivalent
16196,5,2,1,35,1,4,2,6,550,240,15,1180,50,370,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2,ON,Married,"College, CEGEP, or other non-university certificate or dimploma"
16197,5,2,1,35,1,6,3,3,570,45,30,360,0,0,0,0,0,NA,2,1,1,2,2,1,2,1,2,1,ON,Married,Bachelor's degree
16198,3,1,2,59,1,1,1,6,745,0,0,1320,140,0,0,0,0,NA,NA,NA,1,1,NA,4,1,1,1,2,BC,Living common-law,Less than high school dimploma or its equivalent
16199,5,2,2,35,1,6,3,6,440,0,0,85,30,455,0,0,0,NA,NA,NA,1,1,NA,8,2,1,1,1,ON,Living common-law,Bachelor's degree
16200,2,2,1,24,1,6,6,3,420,50,105,575,25,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,1,QC,Married,Bachelor's degree
16201,2,2,6,35,1,6,1,4,575,150,0,685,75,450,0,0,0,NA,NA,NA,1,1,NA,6,2,2,1,2,ON,"Single, never married",Bachelor's degree
16202,5,1,1,48,1,4,6,4,450,0,60,260,20,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,AB,Married,"College, CEGEP, or other non-university certificate or dimploma"
16203,4,1,2,35,2,2,1,6,445,10,0,775,20,855,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,ON,Living common-law,High school diploma or equivalency
16204,3,1,1,24,1,7,2,6,485,30,70,605,75,180,0,0,0,NA,NA,NA,1,1,NA,1,1,1,2,2,QC,Married,"University certificate, diploma, degree above the BA level"
16205,1,2,6,35,1,6,1,3,360,0,45,405,0,500,240,0,0,NA,NA,NA,1,1,2,1,1,NA,1,2,ON,"Single, never married",Bachelor's degree
16206,4,2,1,35,1,7,1,6,600,90,0,315,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2,ON,Married,"University certificate, diploma, degree above the BA level"
16207,4,2,2,24,2,4,2,6,300,840,45,540,5,225,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,2,QC,Living common-law,"College, CEGEP, or other non-university certificate or dimploma"
16208,2,1,1,48,2,2,4,2,525,90,120,190,130,160,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2,AB,Married,High school diploma or equivalency
16209,3,2,1,35,1,6,1,6,465,425,85,610,220,0,0,0,0,NA,NA,NA,1,1,NA,8,1,1,1,2,ON,Married,Bachelor's degree
16210,3,2,2,35,1,6,1,3,405,10,30,30,20,485,0,0,0,NA,NA,NA,1,1,NA,7,2,2,1,2,ON,Living common-law,Bachelor's degree
16211,3,1,1,24,2,3,3,6,510,55,30,555,0,500,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2,QC,Married,Trade certificate or diploma
16212,7,2,5,10,1,4,2,2,900,20,90,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2,NL,Divorced,"College, CEGEP, or other non-university certificate or dimploma"
16213,1,1,6,59,1,2,3,1,480,0,80,20,0,0,0,0,0,2,1,2,2,2,2,7,2,2,2,2,BC,"Single, never married",High school diploma or equivalency
16214,4,1,2,35,1,5,1,2,645,0,160,20,145,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2,ON,Living common-law,University certificate or dimploma below the bachelor's level
16215,7,1,1,59,1,2,1,3,720,60,0,240,240,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,BC,Married,High school diploma or equivalency
16216,5,2,1,35,1,2,2,6,320,0,0,830,70,365,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2,ON,Married,High school diploma or equivalency
16217,4,1,1,35,1,5,4,6,475,0,40,515,70,720,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,ON,Married,University certificate or dimploma below the bachelor's level
16218,1,1,6,48,1,5,2,2,840,30,30,20,0,0,0,0,0,1,2,1,1,2,1,2,2,2,2,2,AB,"Single, never married",University certificate or dimploma below the bachelor's level
16219,3,2,1,35,1,4,2,2,540,120,55,360,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,ON,Married,"College, CEGEP, or other non-university certificate or dimploma"
16220,3,2,1,35,1,6,1,3,470,30,30,35,55,475,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,1,ON,Married,Bachelor's degree
16221,2,2,2,24,2,3,2,6,420,210,0,30,0,0,0,0,0,NA,2,1,1,2,NA,2,1,2,2,2,QC,Living common-law,Trade certificate or diploma
16222,4,1,1,10,2,4,2,4,450,45,20,550,45,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2,NL,Married,"College, CEGEP, or other non-university certificate or dimploma"
16223,7,2,5,48,2,2,1,6,525,0,0,840,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2,AB,Divorced,High school diploma or equivalency
16224,7,1,1,35,1,4,6,4,530,60,120,445,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,ON,Married,"College, CEGEP, or other non-university certificate or dimploma"
16225,2,2,6,24,1,6,1,2,553,0,60,1143,72,0,0,0,75,NA,NA,1,1,2,1,7,2,2,2,1,QC,"Single, never married",Bachelor's degree
16226,5,2,5,59,1,6,2,3,440,30,140,660,270,0,0,0,0,NA,2,1,1,2,NA,3,1,2,2,1,BC,Divorced,Bachelor's degree
16227,4,1,6,35,2,6,4,6,360,0,60,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,1,2,ON,"Single, never married",Bachelor's degree
16228,6,2,1,24,1,1,4,5,585,30,45,240,180,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,QC,Married,Less than high school dimploma or its equivalent
16229,5,1,1,35,1,7,5,2,500,0,110,250,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,ON,Married,"University certificate, diploma, degree above the BA level"
16230,4,2,1,59,1,4,1,6,570,60,60,195,60,420,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,1,BC,Married,"College, CEGEP, or other non-university certificate or dimploma"
16231,6,2,1,24,1,6,1,6,440,30,150,235,90,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,1,QC,Married,Bachelor's degree
16232,4,2,1,47,2,2,2,2,690,30,45,960,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2,SK,Married,High school diploma or equivalency
16233,7,2,3,12,1,4,2,4,470,0,0,1090,60,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2,NS,Widowed,"College, CEGEP, or other non-university certificate or dimploma"
16234,6,1,1,47,1,4,3,6,490,30,150,610,60,310,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,SK,Married,"College, CEGEP, or other non-university certificate or dimploma"
16235,5,1,1,11,3,1,1,6,180,0,110,1290,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,PEI,Married,Less than high school dimploma or its equivalent
16236,5,1,1,59,1,6,1,5,445,140,90,45,165,540,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,BC,Married,Bachelor's degree
