PUMFID,ageGrp,sex,maritalStat,province,popCenter,eduLevel,feelRushed,extraTime,durSleep,durMealPrep,durEating,durAlone,durDriving,durWork,durShoolSite,durSchoolOnline,durStudy,mainStudy,mainJobHunting,mainWork,worked12m,workedWeek,enrollStat,dailyTexts,timeSlowDown,timeWorkaholic,timeNotFamFriends,timeWantAlone
15236,7,1,1,47,1,2,4,5,810,120,165,360,60,0,0,0,0,NA,2,2,2,2,NA,2,2,1,1,2
15237,4,2,1,12,1,6,2,6,420,170,0,230,31,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,1
15238,7,2,3,35,1,4,2,6,510,90,60,630,60,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
15239,3,2,2,24,1,6,1,6,510,160,160,50,50,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
15240,5,2,1,35,1,2,6,4,570,160,0,965,20,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15241,4,1,6,24,1,3,1,6,345,0,15,970,40,1010,0,0,0,NA,NA,NA,1,1,NA,8,2,1,1,2
15242,4,1,1,35,1,7,2,2,650,0,40,840,60,600,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,1
15243,7,2,3,35,1,1,6,6,575,40,95,1225,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15244,3,1,2,59,1,4,6,2,395,0,30,325,30,705,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,1
15245,6,2,1,35,1,7,2,6,430,120,60,385,40,60,0,0,0,NA,2,1,1,2,2,1,2,2,2,2
15246,5,2,5,59,1,NA,6,3,540,0,165,1035,0,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
15247,7,1,1,35,1,6,1,1,550,270,0,260,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15248,3,2,1,13,1,6,1,6,480,55,20,400,75,385,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1
15249,2,1,2,35,1,2,2,3,210,60,90,0,20,160,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,2
15250,7,1,1,12,1,6,5,5,565,20,80,105,60,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2
15251,5,1,5,35,1,3,6,3,420,0,45,780,30,600,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2
15252,7,2,3,12,1,1,4,5,675,0,120,1230,0,0,0,0,0,NA,2,2,2,2,NA,8,1,1,2,2
15253,6,1,1,35,1,7,3,3,560,10,60,20,0,0,0,90,0,NA,2,1,1,2,NA,1,1,2,2,2
15254,2,2,1,47,1,7,3,4,460,80,20,205,80,420,0,0,0,NA,NA,NA,1,1,NA,7,2,2,1,2
15255,7,2,5,59,1,4,5,4,630,30,60,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,1,1
15256,4,1,4,13,2,4,1,5,510,60,40,795,70,585,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2
15257,3,1,1,59,1,6,1,6,540,60,60,960,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1
15258,2,1,1,47,2,1,1,2,480,30,60,540,60,540,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
15259,4,1,1,48,1,5,1,2,470,85,20,100,130,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1
15260,3,1,1,10,1,1,1,6,240,0,90,330,0,930,0,0,0,NA,NA,NA,1,1,NA,5,1,1,1,2
15261,2,2,2,47,1,4,2,2,630,15,15,230,20,460,0,0,0,NA,NA,NA,1,1,NA,7,2,2,2,2
15262,5,2,4,48,2,1,6,2,460,30,270,1120,55,0,0,0,0,NA,2,1,1,2,NA,2,2,2,2,2
15263,3,1,1,10,2,6,5,4,590,0,135,90,20,0,0,0,0,NA,NA,NA,1,1,NA,4,2,2,2,2
15264,7,2,3,35,2,1,3,3,600,0,315,1260,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,2
15265,7,1,1,10,2,1,1,6,510,0,135,600,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2
15266,7,1,1,35,1,7,6,1,675,0,60,415,10,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
