PUMFID,AGEGR10,SEX,MARSTAT,PRV,LUC_RST,EHG_ALL,GTU_110,GTU_130,DUR01,DUR05,DUR06,DURS200,DURL313,DUR08,DUR13,DUR14,DUR15,MRW_20,MRW_30,MRW_40,MRW_D40A,MRW_D40B,EDM_02,TST_01,TCS_110,TCS_120,TCS_150,TCS_200
10028,7,1,1,12,1,6.0,4.0,1.0,655,0,80,210,35,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
10029,5,2,1,35,1,6.0,3.0,2.0,450,50,70,610,0,0,0,0,0,,2.0,2.0,2,2,,3.0,2.0,2.0,1.0,2.0
10030,6,2,1,10,2,6.0,1.0,6.0,600,135,60,1005,15,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,1.0,1.0,1.0
10031,7,2,1,59,1,,6.0,1.0,495,0,135,1035,0,0,0,0,0,,,,2,2,,8.0,2.0,2.0,1.0,2.0
10032,2,1,6,47,1,4.0,1.0,3.0,450,30,61,891,40,549,0,0,0,,,,1,1,,7.0,1.0,2.0,2.0,2.0
10033,3,2,1,59,1,,2.0,4.0,420,75,45,385,70,0,0,0,0,,,,2,2,,,,,,
10034,3,2,1,35,1,3.0,1.0,6.0,390,105,30,185,125,525,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,1.0
10035,4,2,1,24,1,4.0,2.0,3.0,420,70,20,150,90,455,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
10036,3,1,2,24,2,6.0,1.0,6.0,435,0,45,75,30,720,0,0,0,,,,1,1,,1.0,2.0,2.0,1.0,2.0
10037,6,1,5,12,2,1.0,1.0,1.0,450,0,60,1350,45,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
10038,6,2,1,13,2,6.0,4.0,5.0,540,105,115,295,10,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,2.0
10039,3,1,1,59,1,6.0,1.0,6.0,530,0,20,415,65,0,0,0,0,,,,1,1,,2.0,1.0,2.0,1.0,1.0
10040,5,2,4,35,2,4.0,6.0,5.0,500,0,15,1290,120,0,0,0,0,,,,1,1,,2.0,2.0,2.0,2.0,2.0
10041,3,2,1,35,1,5.0,3.0,4.0,540,0,75,390,0,0,0,0,0,,,1.0,1,2,,1.0,2.0,1.0,1.0,1.0
10042,2,2,2,24,1,6.0,2.0,3.0,665,25,40,540,10,0,0,0,0,,2.0,1.0,1,2,,1.0,2.0,2.0,2.0,2.0
10043,3,2,5,35,1,7.0,1.0,6.0,480,120,0,915,70,350,0,0,0,,,,1,1,,1.0,1.0,1.0,1.0,1.0
10044,2,2,2,24,1,6.0,2.0,6.0,540,165,60,285,20,0,0,0,0,,,,1,1,,1.0,1.0,2.0,2.0,1.0
10045,3,1,1,35,1,2.0,1.0,3.0,420,110,0,640,30,0,0,490,0,1.0,2.0,1.0,1,2,1.0,1.0,2.0,2.0,1.0,2.0
